20190101 000000;1.14384;1.14433;1.14257;1.14362;826
20190101 010000;1.14379;1.14460;1.14225;1.14379;1916
20190101 020000;1.14352;1.14493;1.14215;1.14388;2973
20190101 030000;1.14368;1.14474;1.14272;1.14370;2112
20190101 040000;1.14376;1.14478;1.14277;1.14349;5976
20190101 050000;1.14318;1.14431;1.14270;1.14347;3728
20190101 060000;1.14340;1.14832;1.14169;1.14361;3874
20190101 070000;1.14390;1.14537;1.14219;1.14367;4852
20190101 080000;1.14310;1.14641;1.14043;1.14399;6185
20190101 090000;1.14425;1.14625;1.14253;1.14413;5757
20190101 100000;1.14387;1.14833;1.13807;1.14424;2223
20190101 110000;1.14412;1.14724;1.13586;1.14392;4742
20190101 120000;1.14378;1.14533;1.14256;1.14371;8425
20190101 130000;1.14340;1.14756;1.14077;1.14424;6753
20190101 140000;1.14448;1.14565;1.14015;1.14415;8680
20190101 150000;1.14404;1.14862;1.13985;1.14438;4780
20190101 160000;1.14414;1.14966;1.14095;1.14387;4024
20190101 170000;1.14432;1.14620;1.14106;1.14367;2397
20190101 180000;1.14389;1.14484;1.14034;1.14334;1655
20190101 190000;1.14334;1.14456;1.14070;1.14315;8920
20190101 200000;1.14318;1.14450;1.14142;1.14322;2144
20190101 210000;1.14350;1.14415;1.14241;1.14301;5220
20190101 220000;1.14292;1.14417;1.14254;1.14292;5110
20190101 230000;1.14264;1.14351;1.14072;1.14293;941
20190102 000000;1.14293;1.14467;1.14222;1.14283;5698
20190102 010000;1.14313;1.14416;1.14185;1.14278;4709
20190102 020000;1.14327;1.14524;1.14205;1.14275;6756
20190102 030000;1.14253;1.14308;1.14164;1.14279;7253
20190102 040000;1.14293;1.14436;1.14188;1.14272;2081
20190102 050000;1.14262;1.14382;1.14202;1.14274;699
20190102 060000;1.14260;1.14328;1.14162;1.14274;8227
20190102 070000;1.14304;1.14367;1.14154;1.14281;7413
20190102 080000;1.14274;1.14499;1.14042;1.14283;6890
20190102 090000;1.14287;1.14468;1.14103;1.14330;2011
20190102 100000;1.14305;1.14591;1.14105;1.14303;6098
20190102 110000;1.14302;1.14783;1.14158;1.14334;1834
20190102 120000;1.14335;1.14470;1.14194;1.14322;8268
20190102 130000;1.14276;1.14921;1.13950;1.14277;6677
20190102 140000;1.14327;1.14557;1.13608;1.14323;6054
20190102 150000;1.14315;1.14477;1.14098;1.14298;9111
20190102 160000;1.14286;1.14454;1.14076;1.14282;7028
20190102 170000;1.14253;1.14638;1.14050;1.14239;9174
20190102 180000;1.14275;1.14416;1.13937;1.14196;5458
20190102 190000;1.14208;1.14508;1.14038;1.14211;673
20190102 200000;1.14237;1.14299;1.14134;1.14198;9203
20190102 210000;1.14268;1.14327;1.14137;1.14209;824
20190102 220000;1.14204;1.14300;1.14007;1.14232;5570
20190102 230000;1.14213;1.14370;1.14075;1.14230;1670
20190103 000000;1.14215;1.14378;1.14093;1.14215;4201
20190103 010000;1.14247;1.14342;1.14150;1.14219;9416
20190103 020000;1.14191;1.14333;1.14024;1.14228;8869
20190103 030000;1.14203;1.14353;1.14142;1.14223;8679
20190103 040000;1.14203;1.14357;1.14089;1.14222;3369
20190103 050000;1.14220;1.14293;1.14126;1.14236;2013
20190103 060000;1.14255;1.14355;1.13922;1.14259;2717
20190103 070000;1.14249;1.14378;1.14089;1.14268;5323
20190103 080000;1.14297;1.14490;1.13861;1.14245;2124
20190103 090000;1.14228;1.14470;1.14082;1.14239;7455
20190103 100000;1.14253;1.14686;1.14008;1.14254;1600
20190103 110000;1.14290;1.14460;1.13922;1.14242;6004
20190103 120000;1.14256;1.14317;1.14125;1.14231;3454
20190103 130000;1.14222;1.14566;1.13565;1.14196;8436
20190103 140000;1.14246;1.14467;1.13792;1.14170;4471
20190103 150000;1.14160;1.14522;1.13468;1.14144;5577
20190103 160000;1.14146;1.14542;1.13929;1.14134;6948
20190103 170000;1.14187;1.14348;1.14061;1.14169;8156
20190103 180000;1.14146;1.14565;1.13909;1.14154;7815
20190103 190000;1.14192;1.14390;1.14032;1.14173;8518
20190103 200000;1.14141;1.14245;1.14036;1.14178;657
20190103 210000;1.14207;1.14276;1.14048;1.14178;3249
20190103 220000;1.14209;1.14303;1.14100;1.14167;4750
20190103 230000;1.14148;1.14212;1.14050;1.14161;9495
20190104 000000;1.14184;1.14273;1.14038;1.14185;4989
20190104 010000;1.14195;1.14264;1.13908;1.14184;2533
20190104 020000;1.14219;1.14363;1.14024;1.14188;9390
20190104 030000;1.14205;1.14282;1.14080;1.14193;8893
20190104 040000;1.14193;1.14239;1.14139;1.14203;4601
20190104 050000;1.14191;1.14322;1.14148;1.14195;9244
20190104 060000;1.14210;1.14296;1.13905;1.14179;624
20190104 070000;1.14136;1.14399;1.14048;1.14175;3134
20190104 080000;1.14179;1.14329;1.13926;1.14167;7132
20190104 090000;1.14164;1.14349;1.13563;1.14189;7446
20190104 100000;1.14184;1.14410;1.13983;1.14190;3647
20190104 110000;1.14174;1.14549;1.13762;1.14193;2165
20190104 120000;1.14187;1.14349;1.14146;1.14190;5696
20190104 130000;1.14212;1.14420;1.13786;1.14234;4673
20190104 140000;1.14232;1.14602;1.13967;1.14204;4205
20190104 150000;1.14163;1.14686;1.13744;1.14179;7006
20190104 160000;1.14200;1.14322;1.14031;1.14199;6973
20190104 170000;1.14241;1.14538;1.14079;1.14190;3948
20190104 180000;1.14120;1.14427;1.13952;1.14191;7037
20190104 190000;1.14163;1.14316;1.13954;1.14171;6085
20190104 200000;1.14191;1.14409;1.14090;1.14167;536
20190104 210000;1.14170;1.14255;1.14144;1.14167;8069
20190104 220000;1.14119;1.14263;1.14018;1.14147;8729
20190104 230000;1.14108;1.14286;1.14061;1.14135;8141
20190107 000000;1.14078;1.14306;1.14022;1.14138;4935
20190107 010000;1.14102;1.14277;1.14029;1.14162;8327
20190107 020000;1.14203;1.14318;1.14102;1.14163;1204
20190107 030000;1.14156;1.14220;1.14035;1.14157;2985
20190107 040000;1.14114;1.14213;1.13959;1.14142;6108
20190107 050000;1.14119;1.14358;1.13995;1.14143;4315
20190107 060000;1.14196;1.14396;1.13971;1.14089;1595
20190107 070000;1.14066;1.14263;1.13911;1.14088;1328
20190107 080000;1.14068;1.14274;1.13791;1.14081;2144
20190107 090000;1.14088;1.14372;1.13484;1.14066;2764
20190107 100000;1.14060;1.14369;1.13569;1.14137;6869
20190107 110000;1.14131;1.14318;1.13659;1.14058;3118
20190107 120000;1.14061;1.14098;1.13966;1.14059;9401
20190107 130000;1.14068;1.14829;1.13713;1.14063;7408
20190107 140000;1.14055;1.14515;1.13692;1.14083;4483
20190107 150000;1.14115;1.14832;1.13834;1.14018;6542
20190107 160000;1.14056;1.14332;1.13637;1.14009;8944
20190107 170000;1.14062;1.14266;1.13844;1.13972;1606
20190107 180000;1.13992;1.14179;1.13705;1.13976;2729
20190107 190000;1.13984;1.14254;1.13891;1.13987;7379
20190107 200000;1.13956;1.14116;1.13917;1.13995;4790
20190107 210000;1.13917;1.14087;1.13713;1.13998;9124
20190107 220000;1.13967;1.14121;1.13923;1.14004;7964
20190107 230000;1.13980;1.14061;1.13781;1.14010;4524
20190108 000000;1.13961;1.14107;1.13855;1.14019;4748
20190108 010000;1.13985;1.14167;1.13910;1.14021;692
20190108 020000;1.14002;1.14097;1.13867;1.14002;2142
20190108 030000;1.13958;1.14054;1.13860;1.13995;4679
20190108 040000;1.13997;1.14170;1.13951;1.14003;7920
20190108 050000;1.14023;1.14053;1.13874;1.13995;7809
20190108 060000;1.14024;1.14093;1.13751;1.13983;4488
20190108 070000;1.14031;1.14224;1.13909;1.13989;7625
20190108 080000;1.13977;1.14043;1.13784;1.13992;8064
20190108 090000;1.14006;1.14749;1.13620;1.14021;5840
20190108 100000;1.13990;1.14786;1.13642;1.14037;6404
20190108 110000;1.14073;1.14148;1.13764;1.14023;8314
20190108 120000;1.14029;1.14123;1.13900;1.14025;8929
20190108 130000;1.14042;1.14453;1.13456;1.13910;6345
20190108 140000;1.13940;1.14582;1.13370;1.13887;6766
20190108 150000;1.13839;1.14176;1.13716;1.13891;7618
20190108 160000;1.13946;1.14288;1.13624;1.13834;5780
20190108 170000;1.13870;1.14222;1.13544;1.13839;1739
20190108 180000;1.13871;1.14079;1.13506;1.13858;6050
20190108 190000;1.13862;1.14158;1.13664;1.13891;9454
20190108 200000;1.13893;1.14054;1.13819;1.13905;3632
20190108 210000;1.13911;1.14064;1.13808;1.13935;8788
20190108 220000;1.13906;1.14067;1.13826;1.13959;4205
20190108 230000;1.13881;1.14019;1.13774;1.13942;8116
20190109 000000;1.13918;1.14015;1.13797;1.13944;7504
20190109 010000;1.13935;1.14027;1.13768;1.13946;7194
20190109 020000;1.13936;1.14113;1.13754;1.13951;8556
20190109 030000;1.13954;1.14081;1.13756;1.13947;664
20190109 040000;1.13935;1.14085;1.13851;1.13957;5586
20190109 050000;1.13959;1.14122;1.13857;1.13969;8257
20190109 060000;1.13955;1.14125;1.13601;1.13939;1710
20190109 070000;1.13971;1.14179;1.13738;1.13961;4180
20190109 080000;1.13952;1.14071;1.13658;1.13950;3550
20190109 090000;1.13964;1.14164;1.13585;1.13983;8672
20190109 100000;1.14038;1.14404;1.13789;1.14000;4242
20190109 110000;1.13998;1.14317;1.13891;1.13993;4099
20190109 120000;1.13985;1.14247;1.13923;1.14015;2671
20190109 130000;1.14026;1.14227;1.13679;1.14047;2761
20190109 140000;1.14042;1.14236;1.13564;1.14042;8109
20190109 150000;1.14068;1.14415;1.13693;1.14045;5753
20190109 160000;1.14041;1.14313;1.13801;1.14106;3566
20190109 170000;1.14113;1.14464;1.14007;1.14134;2338
20190109 180000;1.14155;1.14411;1.14059;1.14138;9214
20190109 190000;1.14113;1.14275;1.13769;1.14128;2555
20190109 200000;1.14159;1.14250;1.14097;1.14120;1754
20190109 210000;1.14127;1.14273;1.14033;1.14108;2827
20190109 220000;1.14114;1.14183;1.14022;1.14077;2635
20190109 230000;1.14033;1.14189;1.13982;1.14077;9368
20190110 000000;1.14087;1.14218;1.14012;1.14071;8177
20190110 010000;1.14069;1.14243;1.13980;1.14044;2081
20190110 020000;1.14085;1.14213;1.13946;1.14028;2669
20190110 030000;1.13996;1.14055;1.13958;1.14018;6673
20190110 040000;1.14022;1.14102;1.13891;1.14015;3166
20190110 050000;1.14034;1.14244;1.13918;1.14029;6483
20190110 060000;1.14016;1.14151;1.13826;1.14021;3312
20190110 070000;1.13956;1.14135;1.13830;1.13974;8058
20190110 080000;1.13984;1.14083;1.13851;1.13983;7545
20190110 090000;1.13987;1.14367;1.13760;1.13973;3781
20190110 100000;1.13964;1.14107;1.13594;1.13917;870
20190110 110000;1.13900;1.14122;1.13605;1.13848;8002
20190110 120000;1.13866;1.13928;1.13696;1.13841;615
20190110 130000;1.13820;1.14062;1.13090;1.13861;7571
20190110 140000;1.13902;1.14184;1.13278;1.13835;6668
20190110 150000;1.13824;1.14282;1.13180;1.13865;6880
20190110 160000;1.13894;1.14065;1.13602;1.13860;9151
20190110 170000;1.13839;1.14093;1.13577;1.13869;1063
20190110 180000;1.13873;1.14225;1.13783;1.13885;9100
20190110 190000;1.13865;1.14119;1.13723;1.13898;1830
20190110 200000;1.13976;1.14078;1.13853;1.13885;8526
20190110 210000;1.13934;1.14147;1.13686;1.13909;6501
20190110 220000;1.13880;1.14019;1.13735;1.13884;2770
20190110 230000;1.13846;1.14015;1.13745;1.13882;2599
20190111 000000;1.13842;1.14004;1.13771;1.13870;7483
20190111 010000;1.13917;1.14035;1.13856;1.13885;1184
20190111 020000;1.13882;1.13973;1.13594;1.13869;5314
20190111 030000;1.13899;1.13953;1.13802;1.13858;4938
20190111 040000;1.13914;1.14043;1.13751;1.13846;1676
20190111 050000;1.13888;1.13988;1.13797;1.13832;1000
20190111 060000;1.13794;1.14133;1.13565;1.13823;718
20190111 070000;1.13835;1.13947;1.13699;1.13831;954
20190111 080000;1.13847;1.13941;1.13674;1.13814;9313
20190111 090000;1.13827;1.14413;1.13462;1.13768;3459
20190111 100000;1.13798;1.14094;1.13485;1.13767;1309
20190111 110000;1.13760;1.13949;1.13419;1.13773;9103
20190111 120000;1.13778;1.13972;1.13698;1.13788;2387
20190111 130000;1.13780;1.13946;1.13315;1.13761;6916
20190111 140000;1.13815;1.14042;1.13513;1.13760;4064
